"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.973751700E-2,3.107190132E-2,5.544996262E-2,3.029079437E-1
2.474439200E-2,5.154943466E-2,2.228212357E-2,5.950260162E-1
2.975543400E-2,7.718968391E-2,-6.264114380E-2,9.063014984E-1
3.477126700E-2,9.056663513E-2,-1.834316254E-1,1.116472244E0
3.979230900E-2,4.733133316E-2,-3.460793495E-1,1.154003143E0
4.481876700E-2,-4.853844643E-2,-5.305347443E-1,1.104854584E0
4.985059000E-2,-1.362011433E-1,-6.796665192E-1,9.418401718E-1
5.488751700E-2,-2.471017838E-1,-8.035240173E-1,7.029876709E-1
5.992908000E-2,-3.330807686E-1,-8.529932499E-1,3.965425491E-1
6.497470500E-2,-3.808512688E-1,-8.511545658E-1,2.581024170E-2
7.002361100E-2,-4.794254303E-1,-8.224484921E-1,-3.707208633E-1
7.507496500E-2,-5.618929863E-1,-7.358982563E-1,-7.165718079E-1
8.012783000E-2,-5.612919331E-1,-6.559355259E-1,-1.027970314E0
8.518126700E-2,-5.174219608E-1,-5.896093845E-1,-1.292226791E0
9.022652800E-2,-4.850921631E-1,-4.899368286E-1,-1.487399101E0
9.525736100E-2,-4.339330196E-1,-4.029483795E-1,-1.682016373E0
1.002881940E-1,-3.161480427E-1,-3.363423347E-1,-1.908931732E0
1.053190280E-1,-1.578338146E-1,-3.247499466E-1,-2.094821930E0
1.103498610E-1,1.693081856E-2,-3.833994865E-1,-2.274171829E0
1.153806940E-1,2.405583858E-1,-4.770872593E-1,-2.415631294E0
1.204115280E-1,3.800659180E-1,-5.221087933E-1,-2.511566162E0
1.254423610E-1,5.416593552E-1,-5.984385014E-1,-2.558939934E0
1.304731940E-1,7.580105066E-1,-7.416667938E-1,-2.536278725E0
1.355040280E-1,1.056375980E0,-9.355247021E-1,-2.450239182E0
1.405348610E-1,1.362250209E0,-1.113812923E0,-2.343790054E0
1.455656940E-1,1.585448027E0,-1.291135073E0,-2.272146225E0
1.505965280E-1,1.684756756E0,-1.435352564E0,-2.210233688E0
1.556273610E-1,1.711978674E0,-1.510643959E0,-2.180316925E0
1.606581940E-1,1.646973133E0,-1.537640572E0,-2.153274536E0
1.656890280E-1,1.525035620E0,-1.526960850E0,-2.147418976E0
1.707198610E-1,1.333774805E0,-1.498199940E0,-2.157333374E0
