"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.894620800E-2,6.045137270E1,2.226558620E1,6.317993187E0,NaN,NaN,2.396500015E1,2.288406754E1
2.177454635E0,6.045147504E1,2.226550604E1,1.375370998E0,1.620000005E0,2.421000061E2,1.487494183E1,2.069100380E1
3.177340051E0,6.045151298E1,2.226560463E1,1.768970495E1,7.200000286E-1,2.421000061E2,1.828149796E1,2.660151100E1
3.971894999E0,6.045150303E1,2.226557078E1,2.091488205E1,0.000000000E0,NaN,1.208463955E1,1.753633690E1
4.971775883E0,6.045148990E1,2.226552181E1,1.636919270E1,1.299999952E0,3.200000000E2,9.210196495E0,1.282887936E1
5.971450154E0,6.045144952E1,2.226550935E1,4.580582781E0,1.409999967E0,3.313999939E2,5.784214020E0,8.088988304E0
6.971638956E0,6.045143760E1,2.226548815E1,-6.410214691E-1,1.409999967E0,3.267000122E2,4.593512058E0,5.976695061E0
7.971430778E0,6.045143356E1,2.226547172E1,-4.378378656E0,1.350000024E0,3.152000122E2,4.008602619E0,4.707898617E0
8.971392184E0,6.045143928E1,2.226545664E1,-6.159808692E0,1.500000000E0,3.237999878E2,3.954199791E0,4.492796898E0
9.971882392E0,6.045145011E1,2.226543618E1,-6.890763109E0,1.539999962E0,3.237999878E2,3.880767822E0,4.246793747E0
1.097189531E1,6.045145870E1,2.226541926E1,-7.656996114E0,1.419999957E0,3.202000122E2,3.790092468E0,3.792105198E0
1.197102317E1,6.045146705E1,2.226540305E1,-8.495372833E0,1.399999976E0,3.225000000E2,3.790092468E0,3.361429930E0
1.297138343E1,6.045147536E1,2.226538799E1,-8.584665514E0,1.379999995E0,3.227999878E2,3.790092468E0,3.064486504E0
1.397169276E1,6.045148438E1,2.226537267E1,-8.253060013E0,1.399999976E0,3.242000122E2,3.790092468E0,2.999230385E0
1.497181374E1,6.045149348E1,2.226535689E1,-8.426703394E0,1.389999986E0,3.241000061E2,3.790092468E0,2.812547684E0
1.597121552E1,6.045150298E1,2.226534284E1,-8.284490728E0,1.360000014E0,3.248999939E2,3.790092468E0,2.617881060E0
1.697178083E1,6.045151318E1,2.226532937E1,-7.962224933E0,1.440000057E0,3.242999878E2,3.790092468E0,2.500000000E0
1.797178327E1,6.045152213E1,2.226531692E1,-8.119878344E0,1.169999957E0,3.281000061E2,3.790092468E0,2.500000000E0
1.897102031E1,6.045153124E1,2.226530176E1,-8.203556155E0,1.440000057E0,3.277000122E2,3.790092468E0,2.500000000E0
1.997189400E1,6.045154094E1,2.226528589E1,-8.606630957E0,1.309999943E0,3.292000122E2,3.790092468E0,2.500000000E0
2.097179697E1,6.045155160E1,2.226526804E1,-7.963929094E0,1.529999971E0,3.263999939E2,3.790092468E0,2.500000000E0
2.197185629E1,6.045156280E1,2.226525054E1,-7.917174907E0,1.460000038E0,3.267000122E2,3.790092468E0,2.500000000E0
2.297175275E1,6.045157351E1,2.226523457E1,-8.101317074E0,1.429999948E0,3.260000000E2,3.790092468E0,2.500000000E0
2.397168978E1,6.045158416E1,2.226521905E1,-8.120847572E0,1.450000048E0,3.245000000E2,3.790092468E0,2.500000000E0
2.497159515E1,6.045159506E1,2.226520338E1,-8.132443567E0,1.470000029E0,3.238999939E2,3.790092468E0,2.500000000E0
